Name,Player1,Player2,Player3,Player4,Player5,Coach
Virtus.pro,RAMZES666,No[o]ne,9pasha,RodjER,Solo,Artstyle
Team Liquid,MATUMBAMAN,Miracle-,MinD_ContRoL,GH,KuroKy,Heen
PSG.LGD,Ame,SomnusؼM,Chalice,fy,xNova,QQQ
Team Secret,Ace,MidOne,Fata,YapzOr,Puppey,SunBhie
OG,ana,Topson,7ckngMad,JerAx,BigDaddyN0tail,ppasarel
Evil Geniuses,Arteezy,SumaiL,s4,Cr1t-,Fly,BuLba
OpTic Gaming,Pajkatt,CCnC,33,zai,Peterpandam,-
VGJ.Storm,YawaR,Resolut1on,Sneyking,MSS,SVG,Clairvoyance
Mineski,MuShi-,Moon,iceiceice,Jabz,ninjaboogie,71
Team Serenity,zhizhizhi,Zyd,XinQ,Pyw,XCJ,-
Vici Gaming,Paparazi,Ori,eLeVeN,LaNm,Fenrir,Mikasa
Winstrike Team,Silent,Iceberg,nongrata,Nofear,ALWAYSWANNAFLY,Sh4dowehhh
Fnatic,EternaLEnVy,Abed,UNiVeRsE,DJ,pieliedie,Aui_2000
Newbee,Moogy,Sccc,kpii,Kaka,Faith,SanSheng
TNC Predator,Raven,Armel,Sam_H,TIMS,Kuku,1437
VGJ.Thunder,Sylar,Freeze,Yang,Fade,ddc,rOtK
Invictus Gaming,Agressif,Xxs,Srf,BoBoKa,Q,Lpc
paiN Gaming,hFn,w33,tavo,Kingrd,Duster,MISERY
